위도,경도,발생건수,사망자수,중상자수,사고지역위치명,nearest_slope_deg,dist_nearest_stop_m
37.433,127.129,107,0,33,집계격자,5.991415952493499,84.54953634032039
37.43,127.129,57,0,14,집계격자,5.991415952493499,61.01854134069517
37.434,127.129,54,0,15,집계격자,5.991415952493499,91.07795197162471
37.432,127.129,49,1,11,집계격자,5.991415952493499,26.796295874988576
37.471,127.127,47,0,6,집계격자,5.444298102399986,528.0690067591001
37.44,127.128,46,0,12,집계격자,5.35794739722985,59.654700815611484
37.429,127.13,46,0,8,집계격자,5.991415952493499,113.66524698124638
37.422,127.102,44,0,12,집계격자,5.688206175460285,85.38247870064569
37.445,127.157,42,0,20,집계격자,6.3073880841761865,68.53293200183823
37.35,127.109,41,0,12,집계격자,6.842013489713127,82.04127157138639
37.442,127.136,38,1,7,집계격자,7.992112586219589,71.90875037725996
37.433,127.131,38,0,7,집계격자,5.991415952493499,34.33511496894231
37.43,127.137,38,0,9,집계격자,5.646048283160708,42.619585822081795
37.431,127.129,37,0,2,집계격자,5.991415952493499,11.47201454696021
37.443,127.152,36,1,10,집계격자,5.469878393715717,91.57129893455163
37.405,127.119,36,0,10,집계격자,6.00058205709487,109.60499114149556
37.336,127.109,35,0,7,집계격자,6.563047279322581,64.49281250863056
37.378,127.109,35,0,15,집계격자,10.844012478813454,126.81111383097294
37.414,127.144,34,0,6,집계격자,5.913668159725702,76.00524953692889
37.442,127.15,33,0,8,집계격자,5.469878393715717,16.53739087214436
37.44,127.145,31,1,6,집계격자,7.367044018436874,89.6839005949676
37.41,127.129,31,0,7,집계격자,8.43139823142437,92.99420120247996
37.384,127.114,31,0,14,집계격자,10.844012478813454,300.56384684524687
37.441,127.132,30,0,10,집계격자,5.049122664364679,72.86653245090946
37.438,127.141,29,1,5,집계격자,7.705336776440256,41.35580783802089
37.439,127.128,29,1,6,집계격자,5.35794739722985,36.87983863566011
37.403,127.113,26,1,11,집계격자,13.307915843922608,138.32012238588118
37.412,127.129,26,0,13,집계격자,8.43139823142437,11.47216702908583
37.421,127.129,26,1,15,집계격자,6.259790904665895,154.7880363311219
37.339,127.103,26,0,7,집계격자,11.03076605209799,219.94673052851837
37.433,127.16,26,0,5,집계격자,8.289303837275924,46.771879919512514
37.463,127.141,24,1,8,집계격자,5.35388092186577,40.959713227523125
37.448,127.127,24,0,3,집계격자,6.9129175655629655,48.03838270388858
37.432,127.13,24,0,0,집계격자,5.991415952493499,55.70277824104332
37.382,127.122,24,0,9,집계격자,5.3818301700236555,127.38830168709798
37.466,127.136,23,0,5,집계격자,5.444298102399986,66.47841225236124
37.359,127.119,23,0,11,집계격자,12.248044407756854,78.34722547134253
37.451,127.16,23,0,11,집계격자,8.964228105336726,54.310512743550404
37.392,127.113,23,0,6,집계격자,6.773012388803978,99.97017527987462
37.44,127.144,22,0,2,집계격자,7.367044018436874,135.3526385255715
37.454,127.161,22,0,4,집계격자,7.549124118429053,112.03794870404528
37.413,127.144,22,0,2,집계격자,5.913668159725702,35.66501465229972
37.474,127.137,22,0,8,집계격자,5.092010258391659,82.43076863217397
37.379,127.136,21,2,8,집계격자,7.956478702485237,188.25967937853656
37.431,127.13,21,0,4,집계격자,5.991415952493499,43.09074746144309
37.44,127.132,21,0,9,집계격자,5.35794739722985,56.484268654015594
37.417,127.129,21,0,9,집계격자,6.259790904665895,131.08629361658294
37.444,127.156,21,0,7,집계격자,6.3073880841761865,28.278873214352316
37.444,127.142,21,0,2,집계격자,9.32684977657263,144.9785367894278
37.36,127.15,21,0,6,집계격자,5.404609315746144,893.8555527335925
37.47,127.127,21,0,6,집계격자,5.444298102399986,417.41451183044273
37.35,127.104,20,0,1,집계격자,6.842013489713127,250.32018635845318
37.443,127.143,20,0,6,집계격자,9.29085367735627,135.54783343022658
37.414,127.129,20,1,4,집계격자,6.259790904665895,97.90366906249818
37.36,127.108,20,0,4,집계격자,8.700448805567662,124.63173299432034
37.433,127.166,20,0,8,집계격자,12.747086602632027,11.743660493797409
